"osm:node:2788279379","3","77"
"osm:node:2793534631","1","16"
"osm:node:2793536621","0","16"
"osm:node:2795366032","5","7"
"osm:node:2795484429","2","12"
"osm:node:2795485482","6","83"
"osm:node:2797066407","11","57"
"osm:node:2797085329","1","6"
"osm:node:2797097754","2","11"
"osm:node:2797336697","37","40"
"osm:node:2797546653","2","14"
"osm:node:2808529205","1","8"
"osm:node:2808992310","3","10"
"osm:node:2808992711","6","9"
"osm:node:2809003068","44","34"
"osm:node:2809201108","16","7"
"osm:node:2809216576","3","13"
"osm:node:2809218196","3","7"
"osm:node:2809967420","9","3"
"osm:node:2811994743","68","3"
"osm:node:2812753276","59","22"
"osm:node:2814655754","14","73"
"osm:node:2816241086","39","46"
"osm:node:2816243136","14","4"
"osm:node:2816318755","11","60"
"osm:node:2816335081","64","11"
"osm:node:2816336858","21","56"
"osm:node:2816414704","66","2"
"osm:node:2816539133","42","34"
"osm:node:2816619103","5","6"
"osm:node:2816833895","8","4"
"osm:node:2816835282","7","52"
"osm:node:2816880565","62","5"
"osm:node:2816880598","4","12"
"osm:node:2816881087","32","57"
"osm:node:2816881096","6","6"
"osm:node:2816881134","6","3"
"osm:node:2816952880","8","5"
"osm:node:2816953237","17","67"
"osm:node:2816954517","59","8"
"osm:node:2817557930","63","8"
"osm:node:2817559350","42","30"
"osm:node:2817613855","23","56"
"osm:node:2817629982","6","5"
"osm:node:2817631918","14","1"
"osm:node:2817716490","12","65"
"osm:node:2817777876","1","13"
"osm:node:2817854636","7","62"
"osm:node:2817926743","7","59"
"osm:node:2818257157","3","5"
"osm:node:2818332941","5","12"
"osm:node:2818339000","19","46"
"osm:node:2818342227","39","25"
"osm:node:2818736369","37","23"
"osm:node:2819052924","23","53"
"osm:node:2825111420","3","66"
"osm:node:2826846625","37","42"
"osm:node:2827485870","22","57"
"osm:node:2829431176","50","25"
"osm:node:2829433212","7","69"
"osm:node:2830027551","44","19"
"osm:node:2830221587","10","55"
"osm:node:2840297696","58","10"
"osm:node:2842366851","57","23"
"osm:node:2842367676","16","47"
"osm:node:2842389299","34","30"
"osm:node:2842392099","46","20"
"osm:node:2842392725","44","25"
"osm:node:2842393394","21","65"
"osm:node:2846618634","8","68"
"osm:node:2848300844","5","69"
"osm:node:2848620129","10","62"
"osm:node:2848701163","11","63"
"osm:node:2848746544","26","47"
"osm:node:2861998358","7","68"
"osm:node:2862571118","3","57"
"osm:node:2862829673","9","62"
"osm:node:2862829687","37","37"
"osm:node:2862830493","10","54"
"osm:node:2862834811","6","62"
"osm:node:2862836629","12","72"
"osm:node:2898897777","24","34"
"osm:node:296044190","47","25"
"osm:node:3050578441","52","19"
"osm:node:3083675087","36","33"
"osm:node:3112499870","55","15"
"osm:node:3112516101","45","27"
"osm:node:3112803048","34","32"
"osm:node:3117030543","49","27"
"osm:node:3130935029","14","75"
"osm:node:3231282371","39","23"
"osm:node:3246697974","13","50"
"osm:node:3246719937","34","35"
"osm:node:332644228","17","54"
"osm:node:332661073","13","72"
"osm:node:34044693","8","57"
"osm:node:34044772","23","51"
"osm:node:355242642","31","39"
"osm:node:3642246971","46","23"
"osm:node:3642283955","28","41"
"osm:node:3855416069","49","12"
"osm:node:3913027653","61","10"
"osm:node:3936561113","53","34"
"osm:node:4067561113","18","57"
"osm:node:412067392","5","59"
"osm:node:4166609790","21","65"
"osm:node:4216488792","23","41"
"osm:node:4229660310","10","59"
"osm:node:428078554","9","79"
"osm:node:4294260145","4","64"
"osm:node:4320585689","46","26"
"osm:node:4343735201","20","42"
"osm:node:4405516856","39","30"
"osm:node:4458925189","36","34"
"osm:node:4473902694","51","14"
"osm:node:4487248060","33","32"
"osm:node:4501212618","15","75"
"osm:node:4548147149","40","30"
"osm:node:4563362247","4","70"
"osm:node:4596549959","74","7"
"osm:node:461796303","7","61"
"osm:node:4622204544","10","61"
"osm:node:467095819","13","67"
"osm:node:4688299843","40","31"
"osm:node:4711284144","14","71"
"osm:node:4718395734","10","77"
"osm:node:4723341859","8","66"
"osm:node:4732814818","8","75"
"osm:node:4796168223","7","64"
"osm:node:4825417024","12","70"
"osm:node:4853849587","19","57"
"osm:node:4858678362","17","58"
"osm:node:4862660322","23","47"
"osm:node:4866292204","22","55"
"osm:node:4899464724","14","57"
"osm:node:4926201921","62","3"
"osm:node:497166932","15","58"
"osm:node:4986899404","3","66"
"osm:node:5027824025","35","42"
"osm:node:5060022035","28","40"
"osm:node:5141376829","31","37"
"osm:node:5206207272","3","72"
"osm:node:538534998","36","39"
"osm:node:5574338832","9","61"
"osm:node:5579251840","0","68"
"osm:node:5651692839","60","2"
"osm:node:6283480981","23","53"
"osm:node:630455364","22","51"
"osm:node:6635658719","22","57"
"osm:node:7020259827","19","54"
"osm:node:746910501","4","56"
"osm:node:936580930","22","52"
"osm:way:499929237","49","19"
"osm:way:89431697","14","64"
