OBJECTNUMMER;SELECTIE;LABEL;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
107;6776;"6776-7529";"POLYGON((4.7813272 52.3538275,4.7806352 52.3540776,4.7799013 52.3540777,4.7793551 52.3538175,4.7791743 52.3535716,4.7790961 52.3533668,4.7791786 52.353253,4.7795567 52.3529197,4.7799189 52.3527907,4.780654 52.3527034,4.7813857 52.3528509,4.7815501 52.3529299,4.7817414 52.3533803,4.7813729 52.3537991,4.7813272 52.3538275))";"POLYGON((52.3538275 4.7813272,52.3540776 4.7806352,52.3540777 4.7799013,52.3538175 4.7793551,52.3535716 4.7791743,52.3533668 4.7790961,52.353253 4.7791786,52.3529197 4.7795567,52.3527907 4.7799189,52.3527034 4.780654,52.3528509 4.7813857,52.3529299 4.7815501,52.3533803 4.7817414,52.3537991 4.7813729,52.3538275 4.7813272))";4.78041875;52.35339055;
108;7529;"7529-9035";"POLYGON((4.8575738 52.3342209,4.8575855 52.3293184,4.85799 52.3293514,4.8587233 52.3293675,4.8601907 52.3293338,4.8609235 52.3293995,4.8623877 52.3296356,4.8631188 52.3298459,4.8634063 52.3299514,4.8644173 52.3304053,4.864988 52.3308572,4.8650757 52.3313069,4.8648969 52.3317555,4.8646173 52.332105,4.8621168 52.3321242,4.8620092 52.3317427,4.8616464 52.3312918,4.8609055 52.3309216,4.8606027 52.3308379,4.8601742 52.330747,4.85944 52.3307995,4.8593105 52.330832,4.8587027 52.3311146,4.8584566 52.3312777,4.8583094 52.3317264,4.8584978 52.3321517,4.8582654 52.3321534,4.8581796 52.3342702,4.8579298 52.334421,4.8577277 52.3344202,4.8575738 52.3342209))";"POLYGON((52.3342209 4.8575738,52.3293184 4.8575855,52.3293514 4.85799,52.3293675 4.8587233,52.3293338 4.8601907,52.3293995 4.8609235,52.3296356 4.8623877,52.3298459 4.8631188,52.3299514 4.8634063,52.3304053 4.8644173,52.3308572 4.864988,52.3313069 4.8650757,52.3317555 4.8648969,52.332105 4.8646173,52.3321242 4.8621168,52.3317427 4.8620092,52.3312918 4.8616464,52.3309216 4.8609055,52.3308379 4.8606027,52.330747 4.8601742,52.3307995 4.85944,52.330832 4.8593105,52.3311146 4.8587027,52.3312777 4.8584566,52.3317264 4.8583094,52.3321517 4.8584978,52.3321534 4.8582654,52.3342702 4.8581796,52.334421 4.8579298,52.3344202 4.8577277,52.3342209 4.8575738))";4.86132475;52.3318697;
109;7529;"7529-9035";"POLYGON((4.8553423 52.3329915,4.8564195 52.3294606,4.8564445 52.3291938,4.8573348 52.3292979,4.8572998 52.3335347,4.8567798 52.3335324,4.8564752 52.3333695,4.8557452 52.3330691,4.8553423 52.3329915))";"POLYGON((52.3329915 4.8553423,52.3294606 4.8564195,52.3291938 4.8564445,52.3292979 4.8573348,52.3335347 4.8572998,52.3335324 4.8567798,52.3333695 4.8564752,52.3330691 4.8557452,52.3329915 4.8553423))";4.85633855;52.33136425;
110;6024;"6024-6776";"POLYGON((4.8062837 52.3494195,4.8045017 52.3490625,4.8048387 52.3484631,4.8050981 52.3485539,4.8058576 52.3490069,4.8062837 52.3494195))";"POLYGON((52.3494195 4.8062837,52.3490625 4.8045017,52.3484631 4.8048387,52.3485539 4.8050981,52.3490069 4.8058576,52.3494195 4.8062837))";4.8053927;52.3489413;
111;6024;"6024-6776";"POLYGON((4.8039348 52.3485482,4.8041962 52.3482972,4.8045482 52.348388,4.8042101 52.3489815,4.8040506 52.3489505,4.8039348 52.3485482))";"POLYGON((52.3485482 4.8039348,52.3482972 4.8041962,52.348388 4.8045482,52.3489815 4.8042101,52.3489505 4.8040506,52.3485482 4.8039348))";4.8042415;52.34863935;
112;3012;"3012-3765";"POLYGON((4.973239 52.3196281,4.9725063 52.3195734,4.9719009 52.3191463,4.9717788 52.3189311,4.9716928 52.3186962,4.9716903 52.3182468,4.971746 52.3177977,4.9718196 52.3174432,4.9737571 52.3154017,4.9740102 52.3155587,4.9747434 52.3155612,4.9762016 52.3164651,4.9763036 52.3164654,4.9762055 52.3169144,4.9759431 52.3173629,4.9751792 52.318259,4.9747654 52.3187069,4.9739751 52.319343,4.973239 52.3196281))";"POLYGON((52.3196281 4.973239,52.3195734 4.9725063,52.3191463 4.9719009,52.3189311 4.9717788,52.3186962 4.9716928,52.3182468 4.9716903,52.3177977 4.971746,52.3174432 4.9718196,52.3154017 4.9737571,52.3155587 4.9740102,52.3155612 4.9747434,52.3164651 4.9762016,52.3164654 4.9763036,52.3169144 4.9762055,52.3173629 4.9759431,52.318259 4.9751792,52.3187069 4.9747654,52.319343 4.9739751,52.3196281 4.973239))";4.97399695;52.3175149;
113;3012;"3012-3765";"POLYGON((4.9725519 52.3146548,4.9734949 52.3152393,4.9719718 52.3169379,4.9721411 52.3164508,4.9723968 52.3160024,4.9727634 52.3155543,4.9729951 52.3151057,4.9725519 52.3146548))";"POLYGON((52.3146548 4.9725519,52.3152393 4.9734949,52.3169379 4.9719718,52.3164508 4.9721411,52.3160024 4.9723968,52.3155543 4.9727634,52.3151057 4.9729951,52.3146548 4.9725519))";4.97273335;52.31579635;
114;3012;"3012-3765";"POLYGON((4.9717671 52.3134599,4.9716065 52.3133033,4.9713304 52.3128529,4.9712766 52.3124034,4.9714242 52.3119545,4.9717306 52.3115062,4.9718493 52.3113872,4.972447 52.3110594,4.9725861 52.3109938,4.97332 52.3109218,4.9737965 52.3110641,4.9740507 52.3111839,4.9743688 52.3115154,4.9746382 52.3119657,4.9748076 52.3124157,4.9748254 52.3128652,4.9747521 52.3133143,4.974631 52.3137633,4.9740267 52.3137612,4.9732977 52.3133092,4.9725855 52.3137408,4.9717671 52.3134599))";"POLYGON((52.3134599 4.9717671,52.3133033 4.9716065,52.3128529 4.9713304,52.3124034 4.9712766,52.3119545 4.9714242,52.3115062 4.9717306,52.3113872 4.9718493,52.3110594 4.972447,52.3109938 4.9725861,52.3109218 4.97332,52.3110641 4.9737965,52.3111839 4.9740507,52.3115154 4.9743688,52.3119657 4.9746382,52.3124157 4.9748076,52.3128652 4.9748254,52.3133143 4.9747521,52.3137633 4.974631,52.3137612 4.9740267,52.3133092 4.9732977,52.3137408 4.9725855,52.3134599 4.9717671))";4.973051;52.31234255;
115;6776;"6776-7529";"POLYGON((4.9122816 52.3963145,4.9121731 52.396291,4.9123605 52.39585,4.9127166 52.3959152,4.9129084 52.3950536,4.9128356 52.3945423,4.9122971 52.394455,4.9124831 52.3941523,4.9126572 52.3941476,4.9131085 52.3942454,4.9136134 52.3942313,4.914041 52.3941107,4.9140922 52.3941908,4.9141985 52.39483,4.9141577 52.3953028,4.9137646 52.3955805,4.9134525 52.3957713,4.9125324 52.3962171,4.9122816 52.3963145))";"POLYGON((52.3963145 4.9122816,52.396291 4.9121731,52.39585 4.9123605,52.3959152 4.9127166,52.3950536 4.9129084,52.3945423 4.9128356,52.394455 4.9122971,52.3941523 4.9124831,52.3941476 4.9126572,52.3942454 4.9131085,52.3942313 4.9136134,52.3941107 4.914041,52.3941908 4.9140922,52.39483 4.9141985,52.3953028 4.9141577,52.3955805 4.9137646,52.3957713 4.9134525,52.3962171 4.9125324,52.3963145 4.9122816))";4.9131858;52.3952126;
116;6776;"6776-7529";"POLYGON((4.9143052 52.3939483,4.914398 52.3939777,4.9145152 52.3940888,4.9146483 52.394428,4.9145469 52.394877,4.9144843 52.3949525,4.9144726 52.394469,4.9143052 52.3939483))";"POLYGON((52.3939483 4.9143052,52.3939777 4.914398,52.3940888 4.9145152,52.394428 4.9146483,52.394877 4.9145469,52.3949525 4.9144843,52.394469 4.9144726,52.3939483 4.9143052))";4.91447675;52.3944504;
117;6776;"6776-7529";"POLYGON((4.9140063 52.3939917,4.9135683 52.3941275,4.9132853 52.3941538,4.9131186 52.3941414,4.9127661 52.3940536,4.9126318 52.394002,4.9128153 52.3937422,4.9130499 52.3937357,4.9137839 52.3937837,4.9139569 52.3938383,4.9140063 52.3939917))";"POLYGON((52.3939917 4.9140063,52.3941275 4.9135683,52.3941538 4.9132853,52.3941414 4.9131186,52.3940536 4.9127661,52.394002 4.9126318,52.3937422 4.9128153,52.3937357 4.9130499,52.3937837 4.9137839,52.3938383 4.9139569,52.3939917 4.9140063))";4.91331905;52.39394475;
118;6024;"6024-6776";"POLYGON((4.9426481 52.3689215,4.9427425 52.3684725,4.9430489 52.3680243,4.943426 52.3677571,4.9440135 52.3674676,4.9456 52.3674857,4.9456026 52.3693894,4.9428186 52.369387,4.9426481 52.3689215))";"POLYGON((52.3689215 4.9426481,52.3684725 4.9427425,52.3680243 4.9430489,52.3677571 4.943426,52.3674676 4.9440135,52.3674857 4.9456,52.3693894 4.9456026,52.369387 4.9428186,52.3689215 4.9426481))";4.94412535;52.3684285;
119;6024;"6024-6776";"POLYGON((4.9470859 52.3664962,4.9478553 52.3662456,4.9476027 52.3665001,4.9470859 52.3664962))";"POLYGON((52.3664962 4.9470859,52.3662456 4.9478553,52.3665001 4.9476027,52.3664962 4.9470859))";4.9474706;52.36637285;
120;6024;"6024-6776";"POLYGON((4.9477944 52.3694219,4.9457044 52.3693955,4.9457141 52.3688376,4.9464043 52.3686655,4.947469 52.3686835,4.9477944 52.3694219))";"POLYGON((52.3694219 4.9477944,52.3693955 4.9457044,52.3688376 4.9457141,52.3686655 4.9464043,52.3686835 4.947469,52.3694219 4.9477944))";4.9467494;52.3690437;
121;6776;"6776-7529";"POLYGON((5.0152744 52.304392,5.0141445 52.3040468,5.014333 52.3040885,5.014361 52.303973,5.0145784 52.3037753,5.0159844 52.3033333,5.0173759 52.3030235,5.0183006 52.3029105,5.0182395 52.3031217,5.0182789 52.3035713,5.0181042 52.3037115,5.0176067 52.3040185,5.0159003 52.3042655,5.0152744 52.304392))";"POLYGON((52.304392 5.0152744,52.3040468 5.0141445,52.3040885 5.014333,52.303973 5.014361,52.3037753 5.0145784,52.3033333 5.0159844,52.3030235 5.0173759,52.3029105 5.0183006,52.3031217 5.0182395,52.3035713 5.0182789,52.3037115 5.0181042,52.3040185 5.0176067,52.3042655 5.0159003,52.304392 5.0152744))";5.01622255;52.30365125;
122;6776;"6776-7529";"POLYGON((5.0107581 52.3055188,5.0107634 52.3048912,5.0134202 52.3035981,5.0135263 52.3037967,5.0136598 52.3039708,5.0136032 52.3042599,5.0121787 52.3049657,5.0114943 52.3051638,5.0111421 52.3053465,5.0107581 52.3055188))";"POLYGON((52.3055188 5.0107581,52.3048912 5.0107634,52.3035981 5.0134202,52.3037967 5.0135263,52.3039708 5.0136598,52.3042599 5.0136032,52.3049657 5.0121787,52.3051638 5.0114943,52.3053465 5.0111421,52.3055188 5.0107581))";5.01220895;52.30455845;
123;6776;"6776-7529";"POLYGON((5.0134955 52.3046751,5.0137358 52.3045496,5.0140736 52.3044681,5.0147191 52.304502,5.0144317 52.3045579,5.0134955 52.3046751))";"POLYGON((52.3046751 5.0134955,52.3045496 5.0137358,52.3044681 5.0140736,52.304502 5.0147191,52.3045579 5.0144317,52.3046751 5.0134955))";5.0141073;52.3045716;
124;6776;"6776-7529";"POLYGON((5.0552899 52.2995511,5.0548688 52.2991856,5.0547923 52.299098,5.0545635 52.2987354,5.054795 52.2987361,5.0555312 52.2982888,5.0554522 52.2987379,5.0555273 52.2988202,5.0562149 52.2993505,5.0554181 52.2995033,5.0552899 52.2995511))";"POLYGON((52.2995511 5.0552899,52.2991856 5.0548688,52.299098 5.0547923,52.2987354 5.0545635,52.2987361 5.054795,52.2982888 5.0555312,52.2987379 5.0554522,52.2988202 5.0555273,52.2993505 5.0562149,52.2995033 5.0554181,52.2995511 5.0552899))";5.0553892;52.29891995;
125;6776;"6776-7529";"POLYGON((4.9062698 52.3890111,4.9062969 52.3889091,4.9067939 52.387957,4.9072378 52.387765,4.9079743 52.3875846,4.9085621 52.3874699,4.9094902 52.3887551,4.9093078 52.3890141,4.9088399 52.3894616,4.9086875 52.389562,4.9079518 52.3896726,4.9072182 52.3895879,4.9068137 52.3894534,4.9064875 52.3892308,4.9062698 52.3890111))";"POLYGON((52.3890111 4.9062698,52.3889091 4.9062969,52.387957 4.9067939,52.387765 4.9072378,52.3875846 4.9079743,52.3874699 4.9085621,52.3887551 4.9094902,52.3890141 4.9093078,52.3894616 4.9088399,52.389562 4.9086875,52.3896726 4.9079518,52.3895879 4.9072182,52.3894534 4.9068137,52.3892308 4.9064875,52.3890111 4.9062698))";4.90788;52.38857125;
126;6776;"6776-7529";"POLYGON((4.9134567 52.3877938,4.9140619 52.3875758,4.9143378 52.3875769,4.914453 52.3876245,4.9168687 52.3893275,4.9170339 52.3895011,4.9156529 52.3900342,4.9154751 52.3894881,4.9152454 52.3890379,4.9149354 52.3885872,4.9145768 52.3882923,4.9142983 52.3881353,4.9138465 52.3879001,4.9134567 52.3877938))";"POLYGON((52.3877938 4.9134567,52.3875758 4.9140619,52.3875769 4.9143378,52.3876245 4.914453,52.3893275 4.9168687,52.3895011 4.9170339,52.3900342 4.9156529,52.3894881 4.9154751,52.3890379 4.9152454,52.3885872 4.9149354,52.3882923 4.9145768,52.3881353 4.9142983,52.3879001 4.9138465,52.3877938 4.9134567))";4.9152453;52.388805;
127;6776;"6776-7529";"POLYGON((4.9087767 52.3874194,4.9093951 52.3872169,4.9101687 52.3864546,4.9103031 52.3865747,4.910667 52.3867607,4.9112622 52.3869635,4.9110601 52.3872299,4.9114628 52.3873718,4.910914 52.387405,4.9101761 52.3877275,4.9098759 52.3881176,4.9095939 52.3885839,4.9087767 52.3874194))";"POLYGON((52.3874194 4.9087767,52.3872169 4.9093951,52.3864546 4.9101687,52.3865747 4.9103031,52.3867607 4.910667,52.3869635 4.9112622,52.3872299 4.9110601,52.3873718 4.9114628,52.387405 4.910914,52.3877275 4.9101761,52.3881176 4.9098759,52.3885839 4.9095939,52.3874194 4.9087767))";4.91011975;52.38751925;
128;6776;"6776-7529";"POLYGON((4.9159428 52.3907615,4.9162096 52.3906518,4.9167515 52.3912287,4.9169033 52.3914632,4.916747 52.3914328,4.9164765 52.3912896,4.9160181 52.3909084,4.9159428 52.3907615))";"POLYGON((52.3907615 4.9159428,52.3906518 4.9162096,52.3912287 4.9167515,52.3914632 4.9169033,52.3914328 4.916747,52.3912896 4.9164765,52.3909084 4.9160181,52.3907615 4.9159428))";4.91642305;52.3910575;
129;6776;"6776-7529";"POLYGON((4.9140465 52.3860865,4.9146008 52.3860416,4.9153338 52.3861731,4.9157989 52.3863438,4.9160651 52.3864637,4.9164663 52.3867958,4.9168483 52.3873537,4.914605 52.3863589,4.9140465 52.3860865))";"POLYGON((52.3860865 4.9140465,52.3860416 4.9146008,52.3861731 4.9153338,52.3863438 4.9157989,52.3864637 4.9160651,52.3867958 4.9164663,52.3873537 4.9168483,52.3863589 4.914605,52.3860865 4.9140465))";4.9154474;52.38669765;
130;7529;"7529-9035";"POLYGON((4.8535579 52.3591053,4.8536101 52.3588549,4.8538067 52.3583723,4.8539508 52.3582854,4.8539672 52.3582465,4.8547277 52.358013,4.8553349 52.3587601,4.8550527 52.3591242,4.8546964 52.3594071,4.8539645 52.3592323,4.8535579 52.3591053))";"POLYGON((52.3591053 4.8535579,52.3588549 4.8536101,52.3583723 4.8538067,52.3582854 4.8539508,52.3582465 4.8539672,52.358013 4.8547277,52.3587601 4.8553349,52.3591242 4.8550527,52.3594071 4.8546964,52.3592323 4.8539645,52.3591053 4.8535579))";4.8544464;52.35871005;
131;7529;"7529-9035";"POLYGON((4.8545221 52.357722,4.8546132 52.3578381,4.8538121 52.3580692,4.8537126 52.3580709,4.8545221 52.357722))";"POLYGON((52.357722 4.8545221,52.3578381 4.8546132,52.3580692 4.8538121,52.3580709 4.8537126,52.357722 4.8545221))";4.8541629;52.35789645;
132;6776;"6776-7529";"POLYGON((4.9300428 52.3912694,4.930067 52.3913427,4.9299644 52.391819,4.9293914 52.3922389,4.9292245 52.392341,4.9289267 52.392237,4.9284921 52.3921246,4.928044 52.3917842,4.9275882 52.3913331,4.9275864 52.3910653,4.9300428 52.3912694))";"POLYGON((52.3912694 4.9300428,52.3913427 4.930067,52.391819 4.9299644,52.3922389 4.9293914,52.392341 4.9292245,52.392237 4.9289267,52.3921246 4.9284921,52.3917842 4.928044,52.3913331 4.9275882,52.3910653 4.9275864,52.3912694 4.9300428))";4.9288267;52.39170315;
133;6024;"6024-6776";"POLYGON((4.8151699 52.382756,4.8147581 52.3829052,4.8140251 52.3827961,4.8134448 52.3822982,4.8132992 52.3821304,4.8131176 52.3818473,4.81303 52.3813975,4.8132473 52.3809492,4.8133152 52.3808995,4.8140538 52.3805756,4.8147885 52.3805507,4.8155196 52.3808003,4.8158032 52.3809615,4.8163651 52.3814136,4.8164702 52.3818635,4.8162368 52.3821342,4.8160565 52.3823109,4.815496 52.3826355,4.8151699 52.382756))";"POLYGON((52.382756 4.8151699,52.3829052 4.8147581,52.3827961 4.8140251,52.3822982 4.8134448,52.3821304 4.8132992,52.3818473 4.8131176,52.3813975 4.81303,52.3809492 4.8132473,52.3808995 4.8133152,52.3805756 4.8140538,52.3805507 4.8147885,52.3808003 4.8155196,52.3809615 4.8158032,52.3814136 4.8163651,52.3818635 4.8164702,52.3821342 4.8162368,52.3823109 4.8160565,52.3826355 4.815496,52.382756 4.8151699))";4.8147501;52.38172795;
134;9035;"9035-11294";"POLYGON((4.9185561 52.3566956,4.9178453 52.3569772,4.9171116 52.3569684,4.9163792 52.3568085,4.9156485 52.356508,4.9148635 52.3562316,4.9141678 52.3557794,4.913972 52.3553292,4.913988 52.3548799,4.9141996 52.3547234,4.9149336 52.3547113,4.9156448 52.3548306,4.9158251 52.3549177,4.9174227 52.3554449,4.9179606 52.3555969,4.9182315 52.3557956,4.918612 52.3562465,4.9185561 52.3566956))";"POLYGON((52.3566956 4.9185561,52.3569772 4.9178453,52.3569684 4.9171116,52.3568085 4.9163792,52.356508 4.9156485,52.3562316 4.9148635,52.3557794 4.9141678,52.3553292 4.913972,52.3548799 4.913988,52.3547234 4.9141996,52.3547113 4.9149336,52.3548306 4.9156448,52.3549177 4.9158251,52.3554449 4.9174227,52.3555969 4.9179606,52.3557956 4.9182315,52.3562465 4.918612,52.3566956 4.9185561))";4.916292;52.35584425;
135;6776;"6776-7529";"POLYGON((4.8296966 52.3574804,4.8297659 52.3573837,4.8299602 52.3572116,4.83035 52.3567639,4.8305132 52.3563211,4.8312456 52.3564395,4.8314453 52.3567691,4.8318603 52.3572204,4.8319905 52.357499,4.8296966 52.3574804))";"POLYGON((52.3574804 4.8296966,52.3573837 4.8297659,52.3572116 4.8299602,52.3567639 4.83035,52.3563211 4.8305132,52.3564395 4.8312456,52.3567691 4.8314453,52.3572204 4.8318603,52.357499 4.8319905,52.3574804 4.8296966))";4.83084355;52.35691005;
136;6776;"6776-7529";"POLYGON((4.83078 52.3590129,4.8304786 52.3590793,4.8297433 52.3591796,4.8291602 52.3590053,4.8290358 52.3585554,4.8291347 52.3583522,4.8317285 52.3583906,4.8315718 52.3585672,4.8312156 52.3588384,4.83078 52.3590129))";"POLYGON((52.3590129 4.83078,52.3590793 4.8304786,52.3591796 4.8297433,52.3590053 4.8291602,52.3585554 4.8290358,52.3583522 4.8291347,52.3583906 4.8317285,52.3585672 4.8315718,52.3588384 4.8312156,52.3590129 4.83078))";4.83038215;52.3587659;
137;6776;"6776-7529";"POLYGON((4.7926261 52.3408158,4.7930134 52.3404067,4.79358 52.3405688,4.7956782 52.3405861,4.796223 52.3408632,4.7968374 52.3413229,4.7969498 52.3413836,4.7976799 52.3416583,4.7984126 52.3417383,4.7991479 52.341615,4.7996413 52.3413369,4.7998868 52.3412219,4.8003411 52.340906,4.8003982 52.3410507,4.8010821 52.3409345,4.8012312 52.3407063,4.8021985 52.3406832,4.8013551 52.3411485,4.8010596 52.3413439,4.8005652 52.3417908,4.8002693 52.3422388,4.8002697 52.3423469,4.798445 52.3425237,4.7971704 52.344682,4.7969075 52.3445765,4.796753 52.3444682,4.7963973 52.3440171,4.7956537 52.3426652,4.7953656 52.3423428,4.7947711 52.3414108,4.7934189 52.3413458,4.7932827 52.3412811,4.7926261 52.3408158))";"POLYGON((52.3408158 4.7926261,52.3404067 4.7930134,52.3405688 4.79358,52.3405861 4.7956782,52.3408632 4.796223,52.3413229 4.7968374,52.3413836 4.7969498,52.3416583 4.7976799,52.3417383 4.7984126,52.341615 4.7991479,52.3413369 4.7996413,52.3412219 4.7998868,52.340906 4.8003411,52.3410507 4.8003982,52.3409345 4.8010821,52.3407063 4.8012312,52.3406832 4.8021985,52.3411485 4.8013551,52.3413439 4.8010596,52.3417908 4.8005652,52.3422388 4.8002693,52.3423469 4.8002697,52.3425237 4.798445,52.344682 4.7971704,52.3445765 4.7969075,52.3444682 4.796753,52.3440171 4.7963973,52.3426652 4.7956537,52.3423428 4.7953656,52.3414108 4.7947711,52.3413458 4.7934189,52.3412811 4.7932827,52.3408158 4.7926261))";4.7974123;52.34254435;
138;6776;"6776-7529";"POLYGON((4.7997633 52.3443336,4.7993588 52.3434638,4.8003676 52.3432792,4.8003603 52.3435874,4.8001083 52.3440355,4.7997633 52.3443336))";"POLYGON((52.3443336 4.7997633,52.3434638 4.7993588,52.3432792 4.8003676,52.3435874 4.8003603,52.3440355 4.8001083,52.3443336 4.7997633))";4.7998632;52.3438064;
139;5271;"5271-6024";"POLYGON((4.8363995 52.3551308,4.8356661 52.3550834,4.8355312 52.3549906,4.835627 52.3545417,4.8364145 52.3539163,4.8369561 52.3536491,4.8371532 52.3535292,4.837891 52.3532147,4.8386269 52.3530515,4.8393616 52.3529892,4.8400933 52.353162,4.8401196 52.3532144,4.8401443 52.3536639,4.8400852 52.3538238,4.8398237 52.3541117,4.8393426 52.354521,4.8392358 52.3545584,4.8386069 52.3546704,4.837872 52.3547534,4.837025 52.3549976,4.8363995 52.3551308))";"POLYGON((52.3551308 4.8363995,52.3550834 4.8356661,52.3549906 4.8355312,52.3545417 4.835627,52.3539163 4.8364145,52.3536491 4.8369561,52.3535292 4.8371532,52.3532147 4.837891,52.3530515 4.8386269,52.3529892 4.8393616,52.353162 4.8400933,52.3532144 4.8401196,52.3536639 4.8401443,52.3538238 4.8400852,52.3541117 4.8398237,52.354521 4.8393426,52.3545584 4.8392358,52.3546704 4.8386069,52.3547534 4.837872,52.3549976 4.837025,52.3551308 4.8363995))";4.83783775;52.35406;
140;5271;"5271-6024";"POLYGON((4.99618 52.298634,4.9961822 52.2983803,5.0000995 52.2983796,5.0000699 52.2994579,4.9996365 52.2999168,4.9995348 52.3001598,4.9991938 52.3001642,4.9991167 52.3013374,4.9969883 52.3013353,4.9966639 52.3008058,4.9966164 52.3003563,4.9968778 52.2999762,4.9971331 52.2994592,4.9971051 52.2990097,4.9968899 52.2985989,4.99618 52.298634))";"POLYGON((52.298634 4.99618,52.2983803 4.9961822,52.2983796 5.0000995,52.2994579 5.0000699,52.2999168 4.9996365,52.3001598 4.9995348,52.3001642 4.9991938,52.3013374 4.9991167,52.3013353 4.9969883,52.3008058 4.9966639,52.3003563 4.9966164,52.2999762 4.9968778,52.2994592 4.9971331,52.2990097 4.9971051,52.2985989 4.9968899,52.298634 4.99618))";4.99813975;52.2998585;
141;5271;"5271-6024";"POLYGON((4.9931019 52.2971989,4.9931895 52.2967498,4.9933518 52.2964776,4.9969666 52.2964999,4.9969407 52.2981918,4.9939784 52.2981737,4.9938287 52.2981002,4.9932435 52.2976488,4.9932335 52.2976256,4.9931019 52.2971989))";"POLYGON((52.2971989 4.9931019,52.2967498 4.9931895,52.2964776 4.9933518,52.2964999 4.9969666,52.2981918 4.9969407,52.2981737 4.9939784,52.2981002 4.9938287,52.2976488 4.9932435,52.2976256 4.9932335,52.2971989 4.9931019))";4.99503425;52.2973347;
142;5271;"5271-6024";"POLYGON((4.9933901 52.2940542,4.9934654 52.293605,4.9938623 52.2927067,4.9939482 52.2930103,4.9956171 52.2930363,4.9956051 52.2944077,4.9935072 52.2944031,4.9933901 52.2940542))";"POLYGON((52.2940542 4.9933901,52.293605 4.9934654,52.2927067 4.9938623,52.2930103 4.9939482,52.2930363 4.9956171,52.2944077 4.9956051,52.2944031 4.9935072,52.2940542 4.9933901))";4.9945036;52.2935572;
143;5271;"5271-6024";"POLYGON((4.9944734 52.298392,4.9959263 52.2984,4.9959213 52.2986468,4.9954233 52.2986712,4.9946919 52.2984885,4.9944734 52.298392))";"POLYGON((52.298392 4.9944734,52.2984 4.9959263,52.2986468 4.9959213,52.2986712 4.9954233,52.2984885 4.9946919,52.298392 4.9944734))";4.99519985;52.2985316;
144;5271;"5271-6024";"POLYGON((4.9936131 52.2947647,4.9956798 52.2947762,4.9956456 52.2961339,4.9935454 52.2961196,4.9936701 52.2958527,4.9937006 52.2954034,4.9936653 52.2949539,4.9936131 52.2947647))";"POLYGON((52.2947647 4.9936131,52.2947762 4.9956798,52.2961339 4.9956456,52.2961196 4.9935454,52.2958527 4.9936701,52.2954034 4.9937006,52.2949539 4.9936653,52.2947647 4.9936131))";4.9946126;52.2954493;
145;7529;"7529-9035";"POLYGON((4.8567435 52.327553,4.8566433 52.3217989,4.857343 52.322094,4.8574019 52.3221316,4.8574168 52.3258657,4.8573928 52.327083,4.8572346 52.3272278,4.8567435 52.327553))";"POLYGON((52.327553 4.8567435,52.3217989 4.8566433,52.322094 4.857343,52.3221316 4.8574019,52.3258657 4.8574168,52.327083 4.8573928,52.3272278 4.8572346,52.327553 4.8567435))";4.85703005;52.32467595;
146;7529;"7529-9035";"POLYGON((4.8576508 52.322296,4.8579349 52.322737,4.8579885 52.3231866,4.8579174 52.3236357,4.857729 52.3240842,4.8576855 52.3245334,4.8577637 52.3249831,4.8578807 52.3254331,4.8579662 52.3258829,4.8579316 52.3263321,4.8577025 52.3267804,4.8576489 52.3268328,4.8576508 52.322296))";"POLYGON((52.322296 4.8576508,52.322737 4.8579349,52.3231866 4.8579885,52.3236357 4.8579174,52.3240842 4.857729,52.3245334 4.8576855,52.3249831 4.8577637,52.3254331 4.8578807,52.3258829 4.8579662,52.3263321 4.8579316,52.3267804 4.8577025,52.3268328 4.8576489,52.322296 4.8576508))";4.8578187;52.3245644;
147;6024;"6024-6776";"POLYGON((4.945727 52.3578206,4.9449943 52.3577037,4.9442634 52.3573803,4.9440135 52.3572428,4.9442683 52.3569001,4.9444473 52.3567951,4.9457386 52.3566638,4.9464722 52.3566867,4.9467776 52.3568037,4.9466365 52.3572526,4.9464645 52.3574665,4.9461943 52.3577004,4.945727 52.3578206))";"POLYGON((52.3578206 4.945727,52.3577037 4.9449943,52.3573803 4.9442634,52.3572428 4.9440135,52.3569001 4.9442683,52.3567951 4.9444473,52.3566638 4.9457386,52.3566867 4.9464722,52.3568037 4.9467776,52.3572526 4.9466365,52.3574665 4.9464645,52.3577004 4.9461943,52.3578206 4.945727))";4.94539555;52.3572422;
