OBJECTNUMMER;SELECTIE;LABEL;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
435;9035;"9035-11294";"POLYGON((4.9039099 52.3592554,4.9036969 52.3596626,4.903612 52.3596623,4.9036101 52.3598283,4.9034366 52.3601602,4.9011608 52.3597885,4.8988907 52.3594684,4.8989056 52.3593429,4.899046 52.3590717,4.8993096 52.3582655,4.8995116 52.3582951,4.9039109 52.3591779,4.9039099 52.3592554))";"POLYGON((52.3592554 4.9039099,52.3596626 4.9036969,52.3596623 4.903612,52.3598283 4.9036101,52.3601602 4.9034366,52.3597885 4.9011608,52.3594684 4.8988907,52.3593429 4.8989056,52.3590717 4.899046,52.3582655 4.8993096,52.3582951 4.8995116,52.3591779 4.9039109,52.3592554 4.9039099))";4.9014008;52.35921285;
436;9035;"9035-11294";"POLYGON((4.9033289 52.3604467,4.9021958 52.3625998,4.8990783 52.3620209,4.8994899 52.3610287,4.9007411 52.3612539,4.9012266 52.3600858,4.9033289 52.3604467))";"POLYGON((52.3604467 4.9033289,52.3625998 4.9021958,52.3620209 4.8990783,52.3610287 4.8994899,52.3612539 4.9007411,52.3600858 4.9012266,52.3604467 4.9033289))";4.9012036;52.3613428;
437;9035;"9035-11294";"POLYGON((4.9040882 52.3578098,4.9037108 52.3586236,4.8994651 52.3577394,4.8998649 52.3567599,4.9012538 52.3549461,4.9042741 52.3559061,4.9040852 52.3561882,4.903919 52.356637,4.903804 52.3570859,4.9037993 52.3575353,4.9038931 52.3576502,4.9040882 52.3578098))";"POLYGON((52.3578098 4.9040882,52.3586236 4.9037108,52.3577394 4.8994651,52.3567599 4.8998649,52.3549461 4.9012538,52.3559061 4.9042741,52.3561882 4.9040852,52.356637 4.903919,52.3570859 4.903804,52.3575353 4.9037993,52.3576502 4.9038931,52.3578098 4.9040882))";4.9018696;52.35678485;
438;9035;"9035-11294";"POLYGON((4.9044609 52.3556771,4.9014338 52.3547582,4.9018121 52.354295,4.9021638 52.3539025,4.9027507 52.3531643,4.9030002 52.3527085,4.9031601 52.352197,4.9038788 52.3503928,4.9054384 52.3505012,4.9061707 52.350645,4.9069026 52.350821,4.9076355 52.3509147,4.9083705 52.3507995,4.9091076 52.3504902,4.9094257 52.3502994,4.9089602 52.3512199,4.9083187 52.3522494,4.908123 52.3525087,4.9075756 52.3531603,4.9070304 52.3535993,4.9066146 52.3539915,4.905633 52.3551199,4.9053879 52.3551673,4.9051083 52.3552937,4.9046501 52.3555189,4.9044609 52.3556771))";"POLYGON((52.3556771 4.9044609,52.3547582 4.9014338,52.354295 4.9018121,52.3539025 4.9021638,52.3531643 4.9027507,52.3527085 4.9030002,52.352197 4.9031601,52.3503928 4.9038788,52.3505012 4.9054384,52.350645 4.9061707,52.350821 4.9069026,52.3509147 4.9076355,52.3507995 4.9083705,52.3504902 4.9091076,52.3502994 4.9094257,52.3512199 4.9089602,52.3522494 4.9083187,52.3525087 4.908123,52.3531603 4.9075756,52.3535993 4.9070304,52.3539915 4.9066146,52.3551199 4.905633,52.3551673 4.9053879,52.3552937 4.9051083,52.3555189 4.9046501,52.3556771 4.9044609))";4.90542975;52.35298825;
439;9035;"9035-11294";"POLYGON((4.9025553 52.3673633,4.9019715 52.366812,4.901568 52.3664845,4.9017759 52.3664853,4.9017798 52.3661259,4.9020735 52.3661271,4.9020736 52.3661153,4.9045766 52.3665874,4.9039947 52.3675758,4.9038768 52.3675847,4.9037047 52.3676208,4.9035373 52.3677057,4.9034907 52.3677499,4.9030514 52.3675405,4.9025553 52.3673633))";"POLYGON((52.3673633 4.9025553,52.366812 4.9019715,52.3664845 4.901568,52.3664853 4.9017759,52.3661259 4.9017798,52.3661271 4.9020735,52.3661153 4.9020736,52.3665874 4.9045766,52.3675758 4.9039947,52.3675847 4.9038768,52.3676208 4.9037047,52.3677057 4.9035373,52.3677499 4.9034907,52.3675405 4.9030514,52.3673633 4.9025553))";4.9030723;52.3669326;
440;9035;"9035-11294";"POLYGON((4.9050438 52.3649684,4.9025503 52.3644731,4.9033051 52.3630268,4.9064193 52.3635882,4.90586 52.3645579,4.9052956 52.3647314,4.9050438 52.3649684))";"POLYGON((52.3649684 4.9050438,52.3644731 4.9025503,52.3630268 4.9033051,52.3635882 4.9064193,52.3645579 4.90586,52.3647314 4.9052956,52.3649684 4.9050438))";4.9044848;52.3639976;
441;9035;"9035-11294";"POLYGON((4.9077103 52.361256,4.9065377 52.3633917,4.9034102 52.3628052,4.9045496 52.3605813,4.9077103 52.361256))";"POLYGON((52.361256 4.9077103,52.3633917 4.9065377,52.3628052 4.9034102,52.3605813 4.9045496,52.361256 4.9077103))";4.90556025;52.3619865;
442;9035;"9035-11294";"POLYGON((4.9050863 52.3657511,4.9047531 52.3663129,4.9034979 52.3660835,4.9040342 52.3650213,4.9048253 52.3651783,4.9049074 52.3656285,4.9050863 52.3657511))";"POLYGON((52.3657511 4.9050863,52.3663129 4.9047531,52.3660835 4.9034979,52.3650213 4.9040342,52.3651783 4.9048253,52.3656285 4.9049074,52.3657511 4.9050863))";4.9042921;52.3656671;
443;9035;"9035-11294";"POLYGON((4.9080591 52.3606814,4.9078326 52.3610501,4.9046285 52.3603888,4.9050483 52.3595606,4.905138 52.3595003,4.9053607 52.3594982,4.9057658 52.3595635,4.9065696 52.3597939,4.9076003 52.3605706,4.9080591 52.3606814))";"POLYGON((52.3606814 4.9080591,52.3610501 4.9078326,52.3603888 4.9046285,52.3595606 4.9050483,52.3595003 4.905138,52.3594982 4.9053607,52.3595635 4.9057658,52.3597939 4.9065696,52.3605706 4.9076003,52.3606814 4.9080591))";4.9063438;52.36027415;
444;9035;"9035-11294";"POLYGON((4.9063039 52.3663456,4.9057823 52.3663797,4.9055035 52.3664482,4.9050367 52.3663767,4.9053285 52.3659076,4.9056623 52.366081,4.9063039 52.3663456))";"POLYGON((52.3663456 4.9063039,52.3663797 4.9057823,52.3664482 4.9055035,52.3663767 4.9050367,52.3659076 4.9053285,52.366081 4.9056623,52.3663456 4.9063039))";4.9056703;52.3661779;
